kundennummer;firma;datum;art;netto;brutto;quelle
10290;Heynen Elektrotechnik;2022-10-11;INVOICE;8400.0;9996.0;lexoffice_alt
10223;Stuckateur Laib;2022-10-19;INVOICE;537.59;639.73;lexoffice_alt
10064;Riedle Heiztech & BÃ¤derwelten GmbH;2022-10-25;INVOICE;5200.0;6188.0;lexoffice_alt
10229;Zimmerermeister Michael Bormann GmbH;2022-10-25;INVOICE;2000.0;2380.0;lexoffice_alt
10295;DAB Energiesysteme GmbH;2022-10-26;INVOICE;8000.0;9520.0;lexoffice_alt
10294;videte ITÂ® project GmbH;2022-10-26;INVOICE;7000.0;8330.0;lexoffice_alt
10296;Pflanzenhof Paulwitz;2022-10-27;INVOICE;7500.0;8925.0;lexoffice_alt
10297;Klaus Meurer GmbH;2022-10-28;INVOICE;8000.0;9520.0;lexoffice_alt
10298;YModul Gmbh;2022-10-28;INVOICE;7500.0;8925.0;lexoffice_alt
10210;WÃ¤chtler Elektrik GmbH;2022-10-28;INVOICE;1800.0;2142.0;lexoffice_alt
10301;Elektro Reinhard Inh. Frank Kunkel;2022-11-04;INVOICE;6700.0;7973.0;lexoffice_alt
10303;Rolf Flato Inh. Andreas Eckert;2022-11-07;INVOICE;8000.0;9520.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2022-11-08;INVOICE;1500.0;1785.0;lexoffice_alt
10307;Erik Schneider Bedachungen;2022-11-14;INVOICE;8400.0;9996.0;lexoffice_alt
10310;EST Elektro-Systemtechnik GmbH;2022-11-15;INVOICE;8400.0;9996.0;lexoffice_alt
10274;Frank Wolter Heizung LÃ¼ftung SanitÃ¤r;2022-11-15;INVOICE;6700.0;7973.0;lexoffice_alt
10183;Optymed Apotheke;2022-11-22;INVOICE;-7950.0;-9460.5;lexoffice_alt
10190;Franz Dengel;2022-11-23;INVOICE;-5550.0;-6604.5;lexoffice_alt
10311;below0 GmbH;2022-11-23;INVOICE;8000.0;9520.0;lexoffice_alt
10212;Crosscorpo GmbH;2022-11-23;INVOICE;-5962.5;-7095.38;lexoffice_alt
10302;Syscon Sager Elektro- und GebÃ¤udetechnik GmbH;2022-12-01;INVOICE;8000.0;9520.0;lexoffice_alt
10210;WÃ¤chtler Elektrik GmbH;2022-12-05;INVOICE;1800.0;2142.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2022-12-05;INVOICE;1500.0;1785.0;lexoffice_alt
10134;Fischer-J.W. Zander GmbH &amp Co.KG;2022-12-14;INVOICE;6370.0;7580.3;lexoffice_alt
10008;TBO Treuhand â Beratung â Organisation GmbH WirtschaftsÂ­prÃ¼fungsÂ­gesellschaft & TBO GbR;2023-01-04;INVOICE;7000.0;8330.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2023-01-06;INVOICE;1500.0;1785.0;lexoffice_alt
10210;WÃ¤chtler Elektrik GmbH;2023-01-06;INVOICE;1800.0;2142.0;lexoffice_alt
10259;Waagen-JÃ¶hnk KG;2023-01-09;INVOICE;1000.0;1190.0;lexoffice_alt
10294;videte ITÂ® project GmbH;2023-01-12;INVOICE;4900.0;5831.0;lexoffice_alt
